frame,key,event
611,'0',Pressed
618,'0',Released
624,",",Pressed
629,",",Released
639,<65437>,Pressed
646,<65437>,Released
756,'0',Pressed
763,'0',Released
769,",",Pressed
775,",",Released
784,<65437>,Pressed
789,<65437>,Released
967,'0',Pressed
973,'0',Released
982,",",Pressed
987,",",Released
1075,<65437>,Pressed
1080,<65437>,Released
1194,'0',Pressed
1200,'0',Released
1205,",",Pressed
1211,",",Released
1220,<65437>,Pressed
1226,<65437>,Released
1328,'0',Pressed
1335,'0',Released
1340,",",Pressed
1348,",",Released
1361,<65437>,Pressed
1371,<65437>,Released
